ticker,date,compound,Interpretation
FMC,2020-06-29,0.8176,Positive
FMC,2020-06-30,0.6597,Positive
FMC,2020-07-08,0.0,Neutral
FMC,2020-07-09,0.5859,Positive
FMC,2020-07-10,0.1779,Positive
FMC,2020-07-13,0.0,Neutral
FMC,2020-07-17,0.0,Neutral
FMC,2020-07-20,0.0,Neutral
FMC,2020-07-31,0.0,Neutral
FMC,2020-08-03,0.1366,Positive
FMC,2020-08-04,0.1531,Positive
FMC,2020-08-05,-0.07655,Negative
FMC,2020-08-06,0.0,Neutral
FMC,2020-08-12,0.0,Neutral
FMC,2020-08-20,0.0,Neutral
FMC,2020-08-21,0.0,Neutral
FMC,2020-08-24,0.0,Neutral
FMC,2020-08-25,0.5719,Positive
FMC,2020-08-26,0.0,Neutral
FMC,2020-08-31,0.3818,Positive
FMC,2020-09-02,0.0,Neutral
FMC,2020-09-04,0.0,Neutral
FMC,2020-09-15,0.0,Neutral
FMC,2020-09-17,0.10115,Positive
FMC,2020-09-23,0.2023,Positive
FMC,2020-09-24,0.3612,Positive
FMC,2020-09-29,0.2023,Positive
FMC,2020-10-08,0.0,Neutral
FMC,2020-10-26,0.0,Neutral
FMC,2020-10-27,0.5106,Positive
FMC,2020-10-29,0.042666666666666665,Neutral
FMC,2020-10-30,0.11333333333333334,Positive
FMC,2020-11-02,0.27815,Positive
FMC,2020-11-03,0.17020000000000002,Positive
FMC,2020-11-05,0.4588,Positive
FMC,2020-11-30,0.0,Neutral
FMC,2020-12-02,0.0,Neutral
FMC,2020-12-04,0.3182,Positive
FMC,2020-12-05,0.3612,Positive
FMC,2020-12-07,0.4939,Positive
FMC,2020-12-08,0.2023,Positive
FMC,2020-12-15,0.4404,Positive
FMC,2021-01-10,0.0,Neutral
FMC,2021-01-14,0.0,Neutral
FMC,2021-01-15,0.4404,Positive
FMC,2021-01-19,0.0,Neutral
FMC,2021-01-21,-0.296,Negative
FMC,2021-01-22,0.6369,Positive
LDOS,2020-06-01,0.28595,Positive
LDOS,2020-06-02,0.26733333333333337,Positive
LDOS,2020-06-03,0.20095,Positive
LDOS,2020-06-04,0.0,Neutral
LDOS,2020-06-12,0.0,Neutral
